id,age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
1,39,56.8,1.64,36.64,False,Indore,freelancer,Low
2,61,58.4,1.64,0.53,False,Hyderabad,retired,Medium
3,50,54.2,1.66,18.60,False,Mysore,private_job,Medium
4,27,101.1,1.82,28.30,False,Kolkata,business_owner,Low
5,32,113.7,1.90,50.00,False,Jalandhar,private_job,Medium
6,23,71.2,1.75,4.50,False,Delhi,freelancer,Low
7,45,95.0,1.70,12.20,True,Mumbai,business_owner,High
8,58,62.1,1.60,1.20,False,Pune,retired,Medium
9,31,85.5,1.78,8.40,False,Bangalore,private_job,Low
10,64,78.3,1.68,0.00,False,Chennai,retired,High
11,28,60.2,1.72,6.00,False,Jaipur,freelancer,Low
12,52,88.4,1.80,22.10,True,Lucknow,business_owner,High
13,41,68.9,1.65,14.50,False,Chandigarh,private_job,Medium
14,19,55.0,1.60,0.00,False,Patna,student,Low
15,36,92.1,1.73,11.30,False,Ranchi,business_owner,Medium
16,48,74.5,1.71,9.80,False,Coimbatore,private_job,Medium
17,62,65.0,1.67,2.10,False,Bhopal,retired,Medium
18,30,81.2,1.85,7.60,True,Nagpur,freelancer,Medium
19,26,58.0,1.63,5.20,False,Vadodara,private_job,Low
20,44,105.3,1.76,35.00,True,Surat,business_owner,High
21,35,70.0,1.70,12.00,False,Rajkok,freelancer,Low
22,55,77.5,1.62,16.40,False,Jodhpur,private_job,Medium
23,22,63.4,1.74,3.80,False,Raipur,student,Low
24,50,91.2,1.68,8.90,True,Amritsar,business_owner,High
25,37,66.1,1.59,10.20,False,Varanasi,private_job,Medium
26,49,84.0,1.75,15.60,False,Agra,business_owner,Medium
27,29,73.2,1.81,6.50,False,Dehradun,freelancer,Low
28,57,60.5,1.58,0.80,False,Jabalpur,retired,Medium
29,33,110.4,1.78,18.00,True,Guwahati,business_owner,High
30,42,79.0,1.72,13.40,False,Ludhiana,private_job,Medium
31,24,52.1,1.65,4.00,False,Nashik,freelancer,Low
32,60,67.3,1.66,3.50,False,Udaipur,retired,Medium
33,38,87.6,1.77,24.00,True,Aurangabad,business_owner,High
34,46,72.4,1.69,11.50,False,Hubli,private_job,Medium
